[Fri Jan 20 13:07:54 2023] ThreadID[16252]	Start Program.
[Fri Jan 20 13:07:54 2023] ThreadID[16252]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Fri Jan 20 13:07:54 2023] ThreadID[16252]	[MESSAGE]	Begin Reading Game Level Text File.
[Fri Jan 20 13:07:54 2023] ThreadID[16252]	[ERROR]	Game level not found: ../GameLevel.txt
[Fri Jan 20 13:07:54 2023] ThreadID[16252]	[ERROR]	Fatal error reading game level, aborting level load.
[Fri Jan 20 13:09:24 2023] ThreadID[14220]	Start Program.
[Fri Jan 20 13:09:24 2023] ThreadID[14220]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Fri Jan 20 13:09:24 2023] ThreadID[14220]	[MESSAGE]	Begin Reading Game Level Text File.
[Fri Jan 20 13:09:24 2023] ThreadID[14220]	[ERROR]	Game level not found: ./Levels/SmallTest1
[Fri Jan 20 13:09:24 2023] ThreadID[14220]	[ERROR]	Fatal error reading game level, aborting level load.
[Fri Jan 20 13:09:36 2023] ThreadID[46228]	Start Program.
[Fri Jan 20 13:09:36 2023] ThreadID[46228]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Fri Jan 20 13:09:36 2023] ThreadID[46228]	[MESSAGE]	Begin Reading Game Level Text File.
[Fri Jan 20 13:09:36 2023] ThreadID[46228]	[ERROR]	Game level not found: Levels/SmallTest1
[Fri Jan 20 13:09:36 2023] ThreadID[46228]	[ERROR]	Fatal error reading game level, aborting level load.
[Fri Jan 20 13:11:25 2023] ThreadID[37756]	Start Program.
[Fri Jan 20 13:11:25 2023] ThreadID[37756]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Fri Jan 20 13:11:25 2023] ThreadID[37756]	[MESSAGE]	Begin Reading Game Level Text File.
[Fri Jan 20 13:11:25 2023] ThreadID[37756]	[ERROR]	Game level not found: ../Levels/SmallTest1
[Fri Jan 20 13:11:25 2023] ThreadID[37756]	[ERROR]	Fatal error reading game level, aborting level load.
[Fri Jan 20 13:11:45 2023] ThreadID[26680]	Start Program.
[Fri Jan 20 13:11:45 2023] ThreadID[26680]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Fri Jan 20 13:11:45 2023] ThreadID[26680]	[MESSAGE]	Begin Reading Game Level Text File.
[Fri Jan 20 13:11:45 2023] ThreadID[26680]	[ERROR]	Game level not found: ./Levels/SmallTest1.txt
[Fri Jan 20 13:11:45 2023] ThreadID[26680]	[ERROR]	Fatal error reading game level, aborting level load.
[Fri Jan 20 13:11:57 2023] ThreadID[20208]	Start Program.
[Fri Jan 20 13:11:57 2023] ThreadID[20208]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Fri Jan 20 13:11:57 2023] ThreadID[20208]	[MESSAGE]	Begin Reading Game Level Text File.
[Fri Jan 20 13:11:57 2023] ThreadID[20208]	[ERROR]	Game level not found: Levels/SmallTest1.txt
[Fri Jan 20 13:11:57 2023] ThreadID[20208]	[ERROR]	Fatal error reading game level, aborting level load.
[Fri Jan 20 13:12:31 2023] ThreadID[39312]	Start Program.
[Fri Jan 20 13:12:31 2023] ThreadID[39312]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Fri Jan 20 13:12:31 2023] ThreadID[39312]	[MESSAGE]	Begin Reading Game Level Text File.
[Fri Jan 20 13:12:31 2023] ThreadID[39312]	[INFO]	Model Detected: Mountain_Group_1_Cube.039
[Fri Jan 20 13:12:31 2023] ThreadID[39312]	[INFO]	Location: X -1.736400 Y -0.000000 Z 3.566200
[Fri Jan 20 13:12:31 2023] ThreadID[39312]	[INFO]	Model Detected: Mountain_Group_2_Cube.044
[Fri Jan 20 13:12:31 2023] ThreadID[39312]	[INFO]	Location: X 3.515900 Y 0.000000 Z 4.475500
